# Minecraft 26.2 normal village buildings. SHA-256 of original compressed resource.
# id|sha256|role. Metadata only; vanilla block layouts are loaded from the installed game.
minecraft:village/desert/town_centers/desert_meeting_point_1|221b289451adac9988a35b94d75bf65f4d2fdc61f5de98f44e983c9906a0b5f9|civic
minecraft:village/desert/town_centers/desert_meeting_point_2|9d97b8efb3b3dc5d645c7f6eb09567917de74122d041cc45836ed102c4342746|civic
minecraft:village/desert/town_centers/desert_meeting_point_3|63317c614a30136aa17584361f5dd5208f919b5b6de1ec153dad5dbd43e2a33d|civic
minecraft:village/plains/town_centers/plains_fountain_01|1e00652429e77227e7f43a55e67ac1c3eaf4a98ad573d93739cdcc9497b2925a|civic
minecraft:village/plains/town_centers/plains_meeting_point_2|2dc8b0961dd2f7a48445d147d32983d2080f311864a163c2b82813998c0750bc|civic
minecraft:village/plains/town_centers/plains_meeting_point_3|f3a499d7db78d17bfd284bf883542d7c761e6f24902fef1fcf057538bfc154e4|civic
minecraft:village/savanna/town_centers/savanna_meeting_point_1|611d1186a9405c751325bb7dd94d6819786af94a4413e53901c752e04fdc1954|civic
minecraft:village/savanna/town_centers/savanna_meeting_point_2|d79458092acf0382d47a1cab0183d152f7e29d9b93cf53618ccf70f84bf29241|civic
minecraft:village/savanna/town_centers/savanna_meeting_point_3|ddbad7093920cd708075490f41551c03f0555a7bb409b0e27a46a7512a51366a|civic
minecraft:village/savanna/town_centers/savanna_meeting_point_4|48133927e6a43c23f415cb6bf42f548e8d2266d80609e267f192b33b76615d5c|civic
minecraft:village/snowy/town_centers/snowy_meeting_point_1|8e8ec8fbfc0b73f2e68c530f2c0fd2fc14843bb8f0f82974b6eecf65059288ca|civic
minecraft:village/snowy/town_centers/snowy_meeting_point_2|c512121e207c4f411f935ddfa75d0658009d9baff088fe34962094d6f8956aff|civic
minecraft:village/snowy/town_centers/snowy_meeting_point_3|16f41b591e662fc04ce18faf0762dee96bdbd6037392e790f41fe8de0130f182|civic
minecraft:village/taiga/town_centers/taiga_meeting_point_1|90efb93dd32e0a8dfd1c0cd44ec2d98011c26f4ea7b25ec1c91e94b6905d887b|civic
minecraft:village/taiga/town_centers/taiga_meeting_point_2|52ddf18b53f4c12e573b71755148d16b8b3ed8a4e84ba1867c6326deb075af3e|civic
minecraft:village/desert/houses/desert_animal_pen_1|4bbcbdebc4e495a6cc13cca0dd0691950520ac5ef9dfb58a6a89b4ee9e63af58|food
minecraft:village/desert/houses/desert_animal_pen_2|c76c47a1e2814e3682c3824affc0f711e2a6a4699d22eef4cdd19ee99c11dff8|food
minecraft:village/desert/houses/desert_armorer_1|e6eebefc4aa1a733a3cbfa3392e2dcb0c1a80b4bb21722fb0cb32ff788af5550|craft
minecraft:village/desert/houses/desert_butcher_shop_1|8bae99b9d3c5e8719c3f8b98f4ee37e32f911e0d08efc9da1141fe5fb6cc8754|food
minecraft:village/desert/houses/desert_cartographer_house_1|aa3c943ab8781a0c10656ede5da50c040e93e2f9a717819ab232822349244055|trade
minecraft:village/desert/houses/desert_farm_1|d30261c6f69a6dbe29590ee961552f50f260d7f77894f2a87419502994bcc7c1|food
minecraft:village/desert/houses/desert_farm_2|ec37cb1467e3a06aa851f194fb746e36d12ff44c118f3eac9e01f1d7cb996219|food
minecraft:village/desert/houses/desert_fisher_1|1054d9bffe92812e3fb9f98db82a0aa57ea6d222f509528d4b15ec11a94aba19|food
minecraft:village/desert/houses/desert_fletcher_house_1|c13c876712afa26a0766eb7c3b270e7ddceca2b6ecbcb60edff698c71e9706bd|trade
minecraft:village/desert/houses/desert_large_farm_1|6bbf34dde699f11f361cd8e97405b15510b98f5b8cd01d670aa7dce9a73ba045|food
minecraft:village/desert/houses/desert_library_1|12d9ab88fe05105e0bdfa6ee5a79e410561bb6ca46198bc36879ed0b4ee45e58|trade
minecraft:village/desert/houses/desert_mason_1|2eee3d2b41cf4d748be65d0f5aac0e6005216350b4a6c1423df2b0ad0a9cefa9|craft
minecraft:village/desert/houses/desert_medium_house_1|07832e9b625b1deb326ee7ac1d9f33b6215c4d8b19aafcb50cd456059b360fca|residence
minecraft:village/desert/houses/desert_medium_house_2|572b475a2a3a6cb43af8849f27efd676cd7c267f45f448bd01060a1b559a39ac|residence
minecraft:village/desert/houses/desert_shepherd_house_1|97c116215199c472b1994429f1ba155f8eb0587ea42b36c2e9a8dbc28de43dab|food
minecraft:village/desert/houses/desert_small_house_1|d551216e2f7e9c50141f6429158030e670a85349e5859ba05d0dae4768bc8a0e|residence
minecraft:village/desert/houses/desert_small_house_2|71811819f445c13408601f73a33f1a598e937b378da2d8f39b72a91dc70d5405|residence
minecraft:village/desert/houses/desert_small_house_3|7c3aee200b227b69cb95b64cec814a563bcd408a3b9e7fc65b3be5efa7a5ad52|residence
minecraft:village/desert/houses/desert_small_house_4|18864ea1b35a7664fe2b888cf00317f7a54edeca54bfa2941d3339060746e8d9|residence
minecraft:village/desert/houses/desert_small_house_5|8b01c33d27a077298bb3fb309ebb28b4ad9f478f172bc4fb8c9fb202f638b802|residence
minecraft:village/desert/houses/desert_small_house_6|6bea13228e5ef3ee43699a5769323e4ab9c9af2a8e1f424e009f0d1ca8d450b1|residence
minecraft:village/desert/houses/desert_small_house_7|6e7ccf8c7fdaba0ac8de676f9b2a0d51442a870f27cdb0af9817739f3f4b07b1|residence
minecraft:village/desert/houses/desert_small_house_8|1994a3afbd70a55746d4526cfcb113ec425f1f3e3e32d044b04a7025a1cb5eb3|residence
minecraft:village/desert/houses/desert_tannery_1|99b7a8233892c3117d2dd836bb8f768c4f5ed41ba0b3a19f4c9195a525256ac6|trade
minecraft:village/desert/houses/desert_temple_1|3fa73ad9ad6b76981c6d0469b1a0a354db4456f560328f19f9b371c0d3ff0c9e|civic
minecraft:village/desert/houses/desert_temple_2|4be641c37a104615d1d87ec70a52698a8e283e72d4938547348544c3b9fc88f7|civic
minecraft:village/desert/houses/desert_tool_smith_1|bdbf48b4e9538057d0d8066b5dae28cc235784d7fbc2c92be4f912a0f53497ff|craft
minecraft:village/desert/houses/desert_weaponsmith_1|50986fa2410f5b2a6fbc73d9b7a6f3fa86c38746765f0f53a63b04fab8918e20|craft
minecraft:village/plains/houses/plains_animal_pen_1|5a96db697a15aa1a2e7a8666e1be9ea2dfe65595689bc2dec74980d47f52473d|food
minecraft:village/plains/houses/plains_animal_pen_2|20b5258fa535636468cebc637ae44eea6ea9a75b222995610a2576eadb9d1559|food
minecraft:village/plains/houses/plains_animal_pen_3|3f2fca60961a87e2951d0e7169697e5f3d73255a3733d2173d2837a2c0484c2b|food
minecraft:village/plains/houses/plains_armorer_house_1|4344a8d72bc35cc8d1450e6ca067eb7afef6c29ec859a14e4ddb74676dc4d96e|craft
minecraft:village/plains/houses/plains_big_house_1|7d0fb1d3859c8d19b2aedb4c6e1c8cc74565646bd68744f646779bebce09af3b|residence
minecraft:village/plains/houses/plains_butcher_shop_1|e320ded2844d71e3e526ac287ae0b77b036de93288a124a749dac99b07e966d4|food
minecraft:village/plains/houses/plains_butcher_shop_2|ec1304933b97d07c01027e2ad7af84524bd545bb876d83e8c325198168a4396e|food
minecraft:village/plains/houses/plains_cartographer_1|130c89c154fe95cd1d2d5f0d069e4acf85d541acf019acfee8bd4d1d1d7ed1e5|trade
minecraft:village/plains/houses/plains_fisher_cottage_1|48ff3992a474c59c6f6c3e8d2812484586deb89b9dd9488b1658f18cb312cea8|food
minecraft:village/plains/houses/plains_fletcher_house_1|51e470cbaace8e62d6e1a3ef33c27dbe0a8bdfcb8fde2d9e02fb6ef6084b6442|trade
minecraft:village/plains/houses/plains_large_farm_1|47945ae3bc0df8b17ed0f7dee42119545f2c638725513f663715e37c71d8c651|food
minecraft:village/plains/houses/plains_library_1|965a350d4c66b757fa5e4b1f938f9600edcd753af0d2f24381c025c6edde43a4|trade
minecraft:village/plains/houses/plains_library_2|ce7062666468fcd10841cd6e720ed30243862d0f26819e40966ee60aae9bdb9d|trade
minecraft:village/plains/houses/plains_masons_house_1|da873a9638c6910a4810664114990f7a29d5b22116e243349b600495dc6ea15e|craft
minecraft:village/plains/houses/plains_medium_house_1|158934f1be7e4c4f897e1eb2174df4d40205f67b1d41edd3d425aa28f19fdaaf|residence
minecraft:village/plains/houses/plains_medium_house_2|f4d30f616f874d7326131ce8001aa8e68a326a978efcd3274e527b3121347104|residence
minecraft:village/plains/houses/plains_meeting_point_4|f1729dcfa18becf2f1f554e2bf98129d1ab0b962f6a3379e3f9d3f42a36dfa19|civic
minecraft:village/plains/houses/plains_meeting_point_5|0c8f4927a5df9ae80cb9ddda9d1de74ae254d61a097f938143ea88a7c85ed47f|civic
minecraft:village/plains/houses/plains_shepherds_house_1|684f980c2a610e6069a0bc5340828fd4246d00360befd9de378ba14d45d7debd|food
minecraft:village/plains/houses/plains_small_farm_1|679df4d7315ad120d7c3f6489f1266962b331ae18fc15566f55b6526bc20dba5|food
minecraft:village/plains/houses/plains_small_house_1|020c544df9ac446d05751820cbd9fdd48b3ebe3ac15dc2701898c307ce225e11|residence
minecraft:village/plains/houses/plains_small_house_2|316103294662eedf07505f2fcec490fdc73b25f727a523613adcd5a8f2f0fb9b|residence
minecraft:village/plains/houses/plains_small_house_3|b1af4df1e0800c7a7bd6f329a97d6704b428731050d207a119e56f52baf46994|residence
minecraft:village/plains/houses/plains_small_house_4|7f7c7bd9ab1f402012c07e42050de70120c04ff62adc4da375a10e4f1ccb4b51|residence
minecraft:village/plains/houses/plains_small_house_5|d99bc8ebed1de952c6f083e7653d5f44a562300199e931de028259156a9a8023|residence
minecraft:village/plains/houses/plains_small_house_6|6881bc95cfed6da6e75946402dc823420616569aac2c7f6861dd81740597f0fc|residence
minecraft:village/plains/houses/plains_small_house_7|9be5e38f24ede7c94131ec6057cd6c3f86a85772f99eb27ebd5eb7a7b1c6da94|residence
minecraft:village/plains/houses/plains_small_house_8|1c31fd210f8db535ef9259176a3059049fff62eddbfe9582d84b7a4359b66bed|residence
minecraft:village/plains/houses/plains_stable_1|e6a9214f0c3f8082eee0fe0fe24c35555bda169c1c4332f96fa35c6f25a9542b|food
minecraft:village/plains/houses/plains_stable_2|d4e5e2e9f9bc5a42787d980c38b4951d25b2935617bf1cae081aef6de05528ab|food
minecraft:village/plains/houses/plains_tannery_1|8f4f6453137cf4bc06a62d406e20892d3695e9ed7c24b3183ab0a2c236ad3d01|trade
minecraft:village/plains/houses/plains_temple_3|ef5a11a1d22efa083496a0339ea0fb986b6e3e4d15bb2cd0e660ec0ce1cf0ed0|civic
minecraft:village/plains/houses/plains_temple_4|89ead70fc1a8657339bb0254ed16f263f36d08bd0035bff74eee231c7666ff4d|civic
